"title","console","genre","critic_score","total_sales","na_sales","jp_sales"
"Grand Theft Auto V","PS3","Action","9.4","20.32","6.37","0.99"
"Grand Theft Auto V","PS4","Action","9.7","19.39","6.06","0.6"
"Grand Theft Auto: Vice City","PS2","Action","9.6","16.15","8.41","0.47"
"Call of Duty: Black Ops 3","PS4","Shooter","8.1","15.09","6.18","0.41"
"Call of Duty: Modern Warfare 3","X360","Shooter","8.7","14.82","9.07","0.13"
"Call of Duty: Black Ops","X360","Shooter","8.8","14.74","9.76","0.11"
"Red Dead Redemption 2","PS4","Action-Adventure","9.8","13.94","5.26","0.21"
"Call of Duty: Black Ops II","X360","Shooter","8.4","13.86","8.27","0.07"
"Call of Duty: Black Ops II","PS3","Shooter","8","13.8","4.99","0.65"
"Call of Duty: Modern Warfare 2","X360","Shooter","9.5","13.53","8.54","0.08"
"Call of Duty: WWII","PS4","Shooter","8.1","13.4","4.67","0.4"
"Call of Duty: Modern Warfare 3","PS3","Shooter","8.8","13.35","5.54","0.49"
"Grand Theft Auto III","PS2","Action","9.5","13.1","6.99","0.3"
"Call of Duty: Black Ops","PS3","Shooter","8.7","12.67","6.01","0.48"
"FIFA 18","PS4","Sports","8.3","11.8","1.27","0.15"
"Grand Theft Auto IV","X360","Action","10","11.09","6.8","0.14"
"FIFA 17","PS4","Sports","8.9","10.94","1.26","0.12"
"Call of Duty: Modern Warfare 2","PS3","Shooter","9.5","10.61","4.99","0.38"
"Grand Theft Auto IV","PS3","Action","10","10.57","4.79","0.44"
"Call of Duty: Ghosts","X360","Shooter","6.9","10.41","6.76","0.04"
"Call of Duty: Ghosts","PS3","Shooter","7.5","10.13","4.11","0.39"
"Halo: Reach","X360","Shooter","9.3","9.97","7.08","0.08"
"Call of Duty 4: Modern Warfare","X360","Shooter","9.6","9.41","5.98","0.13"
"The Elder Scrolls V: Skyrim","X360","Role-Playing","9.3","8.88","5.1","0.1"
"Grand Theft Auto V","XOne","Action","9","8.72","4.7","0.01"
